"Report_Name","Title Master Report",
"Report_ID","TR",
"Release","5",
"Institution_Name","UniversityofMaryWashington",
"Institution_ID","AA:0001907",
"Metric_Types","",
"Report_Filters","YOP=0001|9999",
"Report_Attributes","Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP",
"Exceptions","",
"Reporting_Period","Begin_Date=2020-07-01; End_Date=2021-06-30",
"Created","2022-01-12T19:06:03Z",
"Created_By","Scholarly iQ for Accessible Archives",
"","",
"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HOOD COUNTY HISTORY","","","Accessible Archives","","AA:BTX000627","","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"MARION COUNTY IN THE MAKING","","","Accessible Archives","","AA:BVA000214","","","","","Book","","0001","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"The Pennsylvania Gazette","","","Accessible Archives","","AA:THEPENNSYLVANIAGAZETTE","","","","","Journal","Article","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0",
"The Pennsylvania Gazette","","","Accessible Archives","","AA:THEPENNSYLVANIAGAZETTE","","","","","Journal","Article","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","1","0","0","0","0","0",
"The Pennsylvania Gazette","","","Accessible Archives","","AA:THEPENNSYLVANIAGAZETTE","","","","","Journal","Article","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0",
"The Pennsylvania Gazette","","","Accessible Archives","","AA:THEPENNSYLVANIAGAZETTE","","","","","Journal","Article","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","1","0","0","0","0","0",
"HISTORY OF WHITE COUNTY, ILLINOIS: TOGETHER WITH SKETCHES OF ITS CITIES, VILLAGES AND TOWNSHIPS, EDUCATIONAL, RELIGIOUS, CIVIL,","INTER-STATE PUBLISHING CO","","Accessible Archives","","AA:BIL000064","","","","","Book","","0001","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HISTORY OF WHITE COUNTY, ILLINOIS: TOGETHER WITH SKETCHES OF ITS CITIES, VILLAGES AND TOWNSHIPS, EDUCATIONAL, RELIGIOUS, CIVIL,","INTER-STATE PUBLISHING CO","","Accessible Archives","","AA:BIL000064","","","","","Book","","0001","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HISTORY OF WHITE COUNTY, ILLINOIS: TOGETHER WITH SKETCHES OF ITS CITIES, VILLAGES AND TOWNSHIPS, EDUCATIONAL, RELIGIOUS, CIVIL,","INTER-STATE PUBLISHING CO","","Accessible Archives","","AA:BIL000064","","","","","Book","","0001","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HISTORY OF WHITE COUNTY, ILLINOIS: TOGETHER WITH SKETCHES OF ITS CITIES, VILLAGES AND TOWNSHIPS, EDUCATIONAL, RELIGIOUS, CIVIL,","INTER-STATE PUBLISHING CO","","Accessible Archives","","AA:BIL000064","","","","","Book","","0001","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"HISTORY OF WHITE COUNTY, ILLINOIS: TOGETHER WITH SKETCHES OF ITS CITIES, VILLAGES AND TOWNSHIPS, EDUCATIONAL, RELIGIOUS, CIVIL,","INTER-STATE PUBLISHING CO","","Accessible Archives","","AA:BIL000064","","","","","Book","","0001","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
