"Report_Name","Title Master Report",
"Report_ID","TR",
"Release","5",
"Institution_Name","University of Mary Washington",
"Institution_ID","APA:683497",
"Metric_Types","",
"Report_Filters","",
"Report_Attributes","Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP",
"Exceptions","",
"Reporting_Period","Begin_Date=2020-07-01; End_Date=2021-06-30",
"Created","2022-01-13T14:48:12Z",
"Created_By","Scholarly iQ for American Psychological Association",
"","",
"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021",
"A history of psychology in autobiography, Vol V.","American Psychological Association","APA:APA","APA PsycNET","10.1037/11579-000","APA:11579","","","","","Book","Chapter","1967","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","1","0","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","","2013","Controlled","Regular","Unique_Title_Investigations","3","0","0","0","0","0","0","0","0","0","3","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","","2013","Controlled","Regular","Unique_Title_Requests","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","Chapter","2013","Controlled","Regular","Total_Item_Investigations","3","0","0","0","0","0","0","0","0","0","3","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","Chapter","2013","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","Chapter","2013","Controlled","Regular","Unique_Item_Investigations","3","0","0","0","0","0","0","0","0","0","3","0","0",
"Activities for teaching positive psychology: A guide for instructors.","American Psychological Association","APA:APA","APA PsycNET","10.1037/14042-000","APA:14042","978-1-4338-1236-1","","","","Book","Chapter","2013","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","0","0","1","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","1965","Controlled","Regular","Total_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","1965","Controlled","Regular","Total_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","1965","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","1965","Controlled","Regular","Unique_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","1994","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","1","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","2016","Controlled","Regular","Total_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","2016","Controlled","Regular","Total_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","2016","Controlled","Regular","Unique_Item_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","0002-9432","1939-0025","","Journal","Article","2016","Controlled","Regular","Unique_Item_Requests","1","0","0","1","0","0","0","0","0","0","0","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","1945","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","1983","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","1988","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","1","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","1994","Controlled","Regular","No_License","2","0","0","0","0","0","0","0","0","0","2","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","2020","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","0","1","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","2016","OA_Gold","Regular","Total_Item_Investigations","2","0","0","0","0","0","0","0","0","0","2","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","2016","OA_Gold","Regular","Total_Item_Requests","2","0","0","0","0","0","0","0","0","0","2","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","2016","OA_Gold","Regular","Unique_Item_Investigations","2","0","0","0","0","0","0","0","0","0","2","0","0",
"American Journal of Orthopsychiatry","American Psychological Association","APA:APA","APA PsycNET","","APA:ort","","2943-2","1939-0025","","Journal","Article","2016","OA_Gold","Regular","Unique_Item_Requests","2","0","0","0","0","0","0","0","0","0","2","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1956","Controlled","Regular","Total_Item_Investigations","1","0","1","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1956","Controlled","Regular","Total_Item_Requests","1","0","1","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1956","Controlled","Regular","Unique_Item_Investigations","1","0","1","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1956","Controlled","Regular","Unique_Item_Requests","1","0","1","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1975","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","0","0","0","1","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1975","Controlled","Regular","Total_Item_Investigations","1","1","0","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1975","Controlled","Regular","Total_Item_Requests","1","1","0","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1975","Controlled","Regular","Unique_Item_Investigations","1","1","0","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1975","Controlled","Regular","Unique_Item_Requests","1","1","0","0","0","0","0","0","0","0","0","0","0",
"American Psychologist","American Psychological Association","APA:APA","APA PsycNET","","APA:amp","","0003-066X","1935-990X","","Journal","Article","1977","Controlled","Regular","No_License","3","0","0","0","0","0","0","0","0","0","0","0","3",
