"Report_Name","Title Master Report",
"Report_ID","TR",
"Release","5",
"Institution_Name","University of Mary Washington",
"Institution_ID","BIOONE:75E18762-A058-E811-80C8-005056B9C586",
"Metric_Types","",
"Report_Filters","",
"Report_Attributes","Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP",
"Exceptions","",
"Reporting_Period","Begin_Date=2020-07-01; End_Date=2021-06-30",
"Created","2022-01-13T14:50:08Z",
"Created_By","Scholarly iQ for BioOne Complete",
"","",
"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021",
"The Journal of Arachnology","American Arachnological Society","","BioOne","10.1636/arac","BIOONE:arac","","0161-8202","1937-2396","","Journal","Article","2006","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"The Journal of Arachnology","American Arachnological Society","","BioOne","10.1636/arac","BIOONE:arac","","0161-8202","1937-2396","","Journal","Article","2006","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"The Journal of Arachnology","American Arachnological Society","","BioOne","10.1636/arac","BIOONE:arac","","0161-8202","1937-2396","","Journal","Article","2006","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","1","0","0","0","0","0","0","0",
"The Journal of Arachnology","American Arachnological Society","","BioOne","10.1636/arac","BIOONE:arac","","0161-8202","1937-2396","","Journal","Article","2006","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","1","0","0","0","0","0","0","0",
"Avian Diseases","American Association of Avian Pathologists","","BioOne","10.1637/avdi","BIOONE:avdi","","0005-2086","1938-4351","","Journal","Article","2010","Controlled","Regular","Total_Item_Investigations","2","0","0","0","0","0","0","0","0","0","2","0","0",
"Avian Diseases","American Association of Avian Pathologists","","BioOne","10.1637/avdi","BIOONE:avdi","","0005-2086","1938-4351","","Journal","Article","2010","Controlled","Regular","Total_Item_Requests","2","0","0","0","0","0","0","0","0","0","2","0","0",
"Avian Diseases","American Association of Avian Pathologists","","BioOne","10.1637/avdi","BIOONE:avdi","","0005-2086","1938-4351","","Journal","Article","2010","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Avian Diseases","American Association of Avian Pathologists","","BioOne","10.1637/avdi","BIOONE:avdi","","0005-2086","1938-4351","","Journal","Article","2010","Controlled","Regular","Unique_Item_Requests","1","0","0","0","0","0","0","0","0","0","1","0","0",
"Journal of Zoo and Wildlife Medicine","American Association of Zoo Veterinarians","","BioOne","10.1638/zamd","BIOONE:zamd","","1042-7260","1937-2825","","Journal","Article","2014","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Journal of Zoo and Wildlife Medicine","American Association of Zoo Veterinarians","","BioOne","10.1638/zamd","BIOONE:zamd","","1042-7260","1937-2825","","Journal","Article","2014","Controlled","Regular","Total_Item_Requests","1","0","0","0","0","0","0","0","1","0","0","0","0",
"Journal of Zoo and Wildlife Medicine","American Association of Zoo Veterinarians","","BioOne","10.1638/zamd","BIOONE:zamd","","1042-7260","1937-2825","","Journal","Article","2014","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0",
