Report_Name,Title Master Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_Name,University of Mary Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_ID,BRILL:brill-prod_6418,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric_Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,Attributes_To_Show=Data_Type|YOP|Access_Type|Access_Method,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2021-01-01; End_Date=2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,2022-01-13T15:31:02Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created_By,KGL PubFactory powered by Scholarly iQ for Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun
Vergil's agricultural Golden Age,Brill,,Brill,10.1163/9789004327788,,978-90-04-32778-8,,,https://brill.com/view/title/2770,Book,Book,1980,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
Literature and Racial Ambiguity,Brill,,Brill,10.1163/9789004334229,,978-90-04-33422-9,,,https://brill.com/view/title/30582,Book,Book,2002,Controlled,Regular,No_License,2,0,0,0,0,2,0,0,0,0,0,0,0
Qumranica Minora I,Brill,,Brill,10.1163/ej.9789004155695.i-326,,978-90-47-41909-9,,,https://brill.com/view/title/13271,Book,Book,2007,Controlled,Regular,No_License,2,0,0,0,2,0,0,0,0,0,0,0,0
Youth and Age in the Medieval North,Brill,,Brill,10.1163/ej.9789004170735.i-310,,978-90-47-42404-8,,,https://brill.com/view/title/12970,Book,Book,2008,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
The Great Recreation,Brill,,Brill,10.1163/ej.9789004168176.i-718,,978-90-47-43371-2,,,https://brill.com/view/title/15135,Book,Book,2008,Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0
History of Italian Philosophy,Brill,,Brill,10.1163/9789401205221,,978-94-012-0522-1,,,https://brill.com/view/title/31217,Book,Book,2008,Controlled,Regular,No_License,2,2,0,0,0,0,0,0,0,0,0,0,0
Handbook of Contemporary Paganism,Brill,,Brill,10.1163/ej.9789004163737.i-650,,978-90-47-44235-6,,,https://brill.com/view/title/13253,Book,Book,2009,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
Love in Jeanette Winterson’s Novels,Brill,,Brill,10.1163/9789042029460,,978-90-420-2946-0,,,https://brill.com/view/title/28503,Book,Book,2010,Controlled,Regular,No_License,3,0,0,0,1,2,0,0,0,0,0,0,0
Chinua Achebe’s <i>Things Fall Apart</i>,Brill,,Brill,10.1163/9789401206839,,978-94-012-0683-9,,,https://brill.com/view/title/27940,Book,Book,2011,Controlled,Regular,No_License,8,0,0,0,8,0,0,0,0,0,0,0,0
Biomapping Indigenous Peoples,Brill,,Brill,10.1163/9789401208666,,978-94-012-0866-6,,,https://brill.com/view/title/27956,Book,Book,2012,Controlled,Regular,No_License,2,0,0,0,0,2,0,0,0,0,0,0,0
On Whiteness,Brill,,Brill,10.1163/9781848881051,,978-1-84888-105-1,,,https://brill.com/view/title/54969,Book,Book,2012,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
The Mongol Empire between Myth and Reality,Brill,,Brill,10.1163/9789004280649,,978-90-04-28064-9,,,https://brill.com/view/title/14321,Book,Book,2014,Controlled,Regular,No_License,2,0,0,0,0,2,0,0,0,0,0,0,0
"Conquest and Resistance in the Ethiopian Empire, 1880 - 1974",Brill,,Brill,10.1163/9789004265486,,978-90-04-26548-6,,,https://brill.com/view/title/24518,Book,Book,2014,Controlled,Regular,No_License,2,0,0,0,0,2,0,0,0,0,0,0,0
Vertriebenendenkmäler,Brill,,Brill,10.30965/9783657772643,,978-3-657-77264-3,,,https://www.schoeningh.de/view/title/51654,Book,Book,2015,Controlled,Regular,No_License,1,0,0,0,0,0,1,0,0,0,0,0,0
"Envisioning Others: Race, Color, and the Visual in Iberia and Latin America",Brill,,Brill,10.1163/9789004302150,,978-90-04-30215-0,,,https://brill.com/view/title/25200,Book,Book,2016,Controlled,Regular,No_License,3,0,0,0,0,3,0,0,0,0,0,0,0
Menschennatur und politische Ordnung,Brill,,Brill,10.30965/9783846759448,,978-3-8467-5944-8,,,https://www.fink.de/view/title/52142,Book,Book,2016,Controlled,Regular,No_License,2,0,0,1,1,0,0,0,0,0,0,0,0
Christianity and the Roots of Morality,Brill,,Brill,10.1163/9789004343535,,978-90-04-34353-5,,,https://brill.com/view/title/32844,Book,Book,2017,Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0
Writing/Reading the Bible in Postcolonial Perspective,Brill,,Brill,10.1163/9789004357679,,978-90-04-35767-9,,,https://brill.com/view/title/35970,Book,Book,2017,Controlled,Regular,No_License,2,0,0,0,0,2,0,0,0,0,0,0,0
Art/Histories in Transcultural Dynamics,Brill,,Brill,10.30965/9783846759394,,978-3-8467-5939-4,,,https://www.fink.de/view/title/52291,Book,Book,2017,Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0
Brill's Companion to Anarchism and Philosophy,Brill,,Brill,10.1163/9789004356894,,978-90-04-35689-4,,,https://brill.com/view/title/35861,Book,Book,2018,Controlled,Regular,No_License,1,0,0,0,1,0,0,0,0,0,0,0,0
Present and Future of Biblical Studies,Brill,,Brill,10.1163/9789004363540,,978-90-04-36354-0,,,https://brill.com/view/title/36349,Book,Book,2018,Controlled,Regular,No_License,3,0,0,3,0,0,0,0,0,0,0,0,0
Cultural Shifts and Ritual Transformations in Reformation Europe,Brill,,Brill,10.1163/9789004436022,,978-90-04-43602-2,,,https://brill.com/view/title/58311,Book,Book,2020,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
Malcolm X,Brill,,Brill,10.1163/9789004308688,,978-90-04-30868-8,,,https://brill.com/view/title/32598,Book,,2016,Controlled,Regular,Unique_Title_Requests,2,0,0,2,0,0,0,0,0,0,0,0,0
Nomadic Modernisms and Diasporic Journeys of Djuna Barnes and Jane Bowles,Brill,,Brill,10.1163/9789004314436,,978-90-04-31443-6,,,https://brill.com/view/title/32947,Book,,2016,Controlled,Regular,Unique_Title_Requests,1,0,0,0,1,0,0,0,0,0,0,0,0
New Aspects of Religion in Ancient Athens,Brill,,Brill,10.1163/9789004319196,,978-90-04-31919-6,,,https://brill.com/view/title/33327,Book,,2016,Controlled,Regular,Unique_Title_Requests,2,0,0,2,0,0,0,0,0,0,0,0,0
"War, Warlords, and Interstate Relations in the Ancient Mediterranean",Brill,,Brill,10.1163/9789004354050,,978-90-04-35405-0,,,https://brill.com/view/title/35742,Book,,2017,Controlled,Regular,Unique_Title_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
Bourdieu in Question: New Directions in French Sociology of Art,Brill,,Brill,10.1163/9789004356719,,978-90-04-35671-9,,,https://brill.com/view/title/15793,Book,,2018,Controlled,Regular,Unique_Title_Requests,7,0,1,6,0,0,0,0,0,0,0,0,0
The Tradition of Hermes Trismegistus,Brill,,Brill,10.1163/9789004370845,,978-90-04-37084-5,,,https://brill.com/view/title/32034,Book,,2018,Controlled,Regular,Unique_Title_Requests,1,0,1,0,0,0,0,0,0,0,0,0,0
