Report_Name,Title Master Report,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,
Institution_Name,University of Mary Washington,,,,,,,,,,,,,,,,,,,,,
Institution_ID,BRILL:brill-prod_6418,,,,,,,,,,,,,,,,,,,,,
Metric_Types,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,Attributes_To_Show=Data_Type|YOP|Access_Type|Access_Method,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2021-01-01; End_Date=2021-06-30,,,,,,,,,,,,,,,,,,,,,
Created,2022-01-13T15:31:02Z,,,,,,,,,,,,,,,,,,,,,
Created_By,KGL PubFactory powered by Scholarly iQ for Brill,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21
A Companion to Gregory of Tours,BRILL,,Brill,10.1163/9789004307001,,978-90-04-30700-1,,,https://brill.com/view/title/24280,Book,,2016,Controlled,Regular,No_License,1,0,0,0,0,1,0
A Companion to Gregory of Tours,BRILL,,Brill,10.1163/9789004307001,,978-90-04-30700-1,,,https://brill.com/view/title/24280,Book,,2016,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,1,0
A Companion to Gregory of Tours,BRILL,,Brill,10.1163/9789004307001,,978-90-04-30700-1,,,https://brill.com/view/title/24280,Book,,2016,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,1,0
A Companion to Gregory of Tours,BRILL,,Brill,10.1163/9789004307001,,978-90-04-30700-1,,,https://brill.com/view/title/24280,Book,,2016,Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,1,0
A Companion to the Greek Lyric Poets,BRILL,,Brill,10.1163/9789004217614,,978-90-04-21761-4,,,https://brill.com/view/title/2538,Book,,1997,Controlled,Regular,No_License,1,0,0,1,0,0,0
A Companion to the Greek Lyric Poets,BRILL,,Brill,10.1163/9789004217614,,978-90-04-21761-4,,,https://brill.com/view/title/2538,Book,,1997,Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0
A Companion to the Greek Lyric Poets,BRILL,,Brill,10.1163/9789004217614,,978-90-04-21761-4,,,https://brill.com/view/title/2538,Book,,1997,Controlled,Regular,Unique_Item_Investigations,1,0,0,1,0,0,0
A Companion to the Greek Lyric Poets,BRILL,,Brill,10.1163/9789004217614,,978-90-04-21761-4,,,https://brill.com/view/title/2538,Book,,1997,Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0
A Grammar of Nganasan,BRILL,,Brill,10.1163/9789004382763,,978-90-04-38276-3,,,https://brill.com/view/title/38179,Book,,2018,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,1
A Grammar of Nganasan,BRILL,,Brill,10.1163/9789004382763,,978-90-04-38276-3,,,https://brill.com/view/title/38179,Book,,2018,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,0,1
A Grammar of Nganasan,BRILL,,Brill,10.1163/9789004382763,,978-90-04-38276-3,,,https://brill.com/view/title/38179,Book,,2018,Controlled,Regular,Unique_Title_Investigations,1,0,0,0,0,0,1
A History of Christianity in Indonesia,BRILL,,Brill,10.1163/ej.9789004170261.i-1004,,978-90-474-4183-0,,,https://brill.com/view/title/8667,Book,,2008,OA_Gold,Regular,Total_Item_Investigations,1,0,0,0,1,0,0
A History of Christianity in Indonesia,BRILL,,Brill,10.1163/ej.9789004170261.i-1004,,978-90-474-4183-0,,,https://brill.com/view/title/8667,Book,,2008,OA_Gold,Regular,Unique_Item_Investigations,1,0,0,0,1,0,0
A History of Christianity in Indonesia,BRILL,,Brill,10.1163/ej.9789004170261.i-1004,,978-90-474-4183-0,,,https://brill.com/view/title/8667,Book,,2008,OA_Gold,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0
A Renaissance Architecture of Power,BRILL,,Brill,10.1163/9789004315501,,978-90-04-31550-1,,,https://brill.com/view/title/22848,Book,,2016,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
A Renaissance Architecture of Power,BRILL,,Brill,10.1163/9789004315501,,978-90-04-31550-1,,,https://brill.com/view/title/22848,Book,,2016,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
A Renaissance Architecture of Power,BRILL,,Brill,10.1163/9789004315501,,978-90-04-31550-1,,,https://brill.com/view/title/22848,Book,,2016,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Total_Item_Investigations,3,0,0,0,3,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Total_Item_Requests,2,0,0,0,2,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Item_Investigations,2,0,0,0,2,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Item_Requests,1,0,0,0,1,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Title_Investigations,1,0,0,0,1,0,0
Adab and Modernity,BRILL,,Brill,10.1163/9789004415997,,978-90-04-41599-7,,,https://brill.com/view/title/55396,Book,,2019,Controlled,Regular,Unique_Title_Requests,1,0,0,0,1,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
Aesthetics in Arabic Thought,BRILL,,Brill,10.1163/9789004345041,,978-90-04-34504-1,,,https://brill.com/view/title/31721,Book,,2017,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Total_Item_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Unique_Item_Investigations,1,1,0,0,0,0,0
"Affect, Emotion, and Subjectivity in Early Modern Muslim Empires: New Studies in Ottoman, Safavid, and Mughal Art and Culture",BRILL,,Brill,10.1163/9789004352841,,978-90-04-35284-1,,,https://brill.com/view/title/34464,Book,,2017,Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Total_Item_Investigations,1,0,1,0,0,0,0
After the Soviet Empire,BRILL,,Brill,10.1163/9789004291454,,978-90-04-29145-4,,,https://brill.com/view/title/25125,Book,,2016,Controlled,Regular,Total_Item_Requests,1,0,1,0,0,0,0
