Report_Name,Title Master Report
Report_ID,TR
Release,5
Institution_Name,"University of Mary Washington"
Institution_ID,CUP:8a9402095413b9bc015413e3df7216b0
Metric_Types,Total_Item_Investigations; Total_Item_Requests; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests; No_License; Limit_Exceeded
Report_Filters,Data_Type=Book|Journal
Report_Attributes,Attributes_To_Show=Access_Method|Data_Type|Access_Type|Section_Type|YOP
Exceptions,"3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Data_Type was invalid with the value(s) Platform); 3060: Invalid ReportFilter Value (Request contained one or more filter values that are not supported by the server: Access_Type was invalid with the value(s) Other_Free_To_Read)"
Reporting_Period,Begin_Date=2020-07-01; End_Date=2021-06-30
Created,2022-01-12T19:10:00Z
Created_By,Cambridge Core

Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
"The Cambridge History of Russia",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521811446,CUP:Cambridge Histories,978-1-139-05409-6,,,https://doi.org/10.1017/CHOL9780521811446,Book,Chapter,"2006",Controlled,Regular,Total_Item_Investigations,2,2,0,0,0,0,0,0,0,0,0,0,0,
"The Cambridge History of Russia",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521811446,CUP:Cambridge Histories,978-1-139-05409-6,,,https://doi.org/10.1017/CHOL9780521811446,Book,Chapter,"2006",Controlled,Regular,No_License,2,2,0,0,0,0,0,0,0,0,0,0,0,
"The Cambridge History of Russia",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521811446,CUP:Cambridge Histories,978-1-139-05409-6,,,https://doi.org/10.1017/CHOL9780521811446,Book,,"2006",Controlled,Regular,Unique_Title_Investigations,1,1,0,0,0,0,0,0,0,0,0,0,0,
"The Theatre in Nineteenth-Century Spain",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511627637,,978-0-511-62763-7,,,https://doi.org/10.1017/CBO9780511627637,Book,Book,"1994",Controlled,Regular,Total_Item_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"The Theatre in Nineteenth-Century Spain",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511627637,,978-0-511-62763-7,,,https://doi.org/10.1017/CBO9780511627637,Book,Book,"1994",Controlled,Regular,No_License,1,0,1,0,0,0,0,0,0,0,0,0,0,
"The Theatre in Nineteenth-Century Spain",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511627637,,978-0-511-62763-7,,,https://doi.org/10.1017/CBO9780511627637,Book,,"1994",Controlled,Regular,Unique_Title_Investigations,1,0,1,0,0,0,0,0,0,0,0,0,0,
"Practical Philosophy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511813306,,978-0-511-81330-6,,,https://doi.org/10.1017/CBO9780511813306,Book,Chapter,"1996",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Practical Philosophy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511813306,,978-0-511-81330-6,,,https://doi.org/10.1017/CBO9780511813306,Book,Chapter,"1996",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"Practical Philosophy",Cambridge University Press,,Cambridge Core,10.1017/CBO9780511813306,,978-0-511-81330-6,,,https://doi.org/10.1017/CBO9780511813306,Book,,"1996",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge World History of Food",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521402149,CUP:Cambridge Histories,978-1-139-05863-6,,,https://doi.org/10.1017/CHOL9780521402149,Book,Chapter,"2000",Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge World History of Food",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521402149,CUP:Cambridge Histories,978-1-139-05863-6,,,https://doi.org/10.1017/CHOL9780521402149,Book,Chapter,"2000",Controlled,Regular,No_License,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge World History of Food",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521402149,CUP:Cambridge Histories,978-1-139-05863-6,,,https://doi.org/10.1017/CHOL9780521402149,Book,,"2000",Controlled,Regular,Unique_Title_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0,
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,Chapter,"2004",Controlled,Regular,Total_Item_Investigations,7,0,0,7,0,0,0,0,0,0,0,0,0,
"The Cambridge History of British Theatre",Cambridge University Press,,Cambridge Core,10.1017/CHOL9780521650687,CUP:Cambridge Histories,978-1-139-05406-5,,,https://doi.org/10.1017/CHOL9780521650687,Book,Chapter,"2004",Controlled,Regular,Total_Item_Requests,2,0,0,2,0,0,0,0,0,0,0,0,0,
