Report_Name,Title Master Report
Report_ID,TR
Release,5
Institution_Name,UNIVERSITY OF MARY WASHINGTON
Institution_ID,Silverchair:225
Metric_Types,
Report_Filters,
Report_Attributes,Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP
Exceptions,
Reporting_Period,Begin_Date=2020-07-01; End_Date=2021-06-30
Created,2022-01-12T19:33:43Z
Created_By,Silverchair

Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2000,Controlled,Regular,Total_Item_Investigations,4,0,0,0,0,0,0,0,0,4,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2000,Controlled,Regular,Unique_Item_Investigations,3,0,0,0,0,0,0,0,0,3,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2002,Controlled,Regular,Total_Item_Investigations,6,0,0,4,0,0,0,0,0,2,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2002,Controlled,Regular,Total_Item_Requests,2,0,0,2,0,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2002,Controlled,Regular,Unique_Item_Investigations,2,0,0,1,0,0,0,0,0,1,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2002,Controlled,Regular,Unique_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2010,Controlled,Regular,Total_Item_Investigations,24,0,3,6,15,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2010,Controlled,Regular,Total_Item_Requests,6,0,1,1,4,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2010,Controlled,Regular,Unique_Item_Investigations,8,0,1,2,5,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2010,Controlled,Regular,Unique_Item_Requests,6,0,1,1,4,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2011,Controlled,Regular,Total_Item_Investigations,13,0,0,0,4,5,0,0,0,0,0,4,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2011,Controlled,Regular,Total_Item_Requests,3,0,0,0,2,1,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2011,Controlled,Regular,Unique_Item_Investigations,4,0,0,0,1,2,0,0,0,0,0,1,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2011,Controlled,Regular,Unique_Item_Requests,2,0,0,0,1,1,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2013,Controlled,Regular,Total_Item_Investigations,11,0,0,0,0,0,0,0,0,0,3,8,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2013,Controlled,Regular,Total_Item_Requests,3,0,0,0,0,0,0,0,0,0,1,2,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2013,Controlled,Regular,Unique_Item_Investigations,4,0,0,0,0,0,0,0,0,0,1,3,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2013,Controlled,Regular,Unique_Item_Requests,3,0,0,0,0,0,0,0,0,0,1,2,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2014,Controlled,Regular,Total_Item_Investigations,3,0,0,0,0,0,0,3,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2014,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,0,0,1,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2017,Controlled,Regular,Total_Item_Investigations,5,0,0,0,0,3,0,0,2,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2017,Controlled,Regular,Total_Item_Requests,5,0,0,0,0,3,0,0,2,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2017,Controlled,Regular,Unique_Item_Investigations,3,0,0,0,0,1,0,0,2,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2017,Controlled,Regular,Unique_Item_Requests,3,0,0,0,0,1,0,0,2,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2018,Controlled,Regular,Total_Item_Investigations,5,0,0,0,0,3,0,0,2,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2018,Controlled,Regular,Total_Item_Requests,4,0,0,0,0,3,0,0,1,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2018,Controlled,Regular,Unique_Item_Investigations,2,0,0,0,0,1,0,0,1,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2018,Controlled,Regular,Unique_Item_Requests,2,0,0,0,0,1,0,0,1,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2019,Controlled,Regular,Total_Item_Investigations,4,0,0,1,3,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2019,Controlled,Regular,Total_Item_Requests,3,0,0,1,2,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2019,Controlled,Regular,Unique_Item_Investigations,2,0,0,1,1,0,0,0,0,0,0,0,0
American Literature,Duke University Press,,Duke University Press,,Silverchair:1000004,,0002-9831,1527-2117,,Journal,Article,2019,Controlled,Regular,Unique_Item_Requests,2,0,0,1,1,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2003,Controlled,Regular,Total_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2003,Controlled,Regular,Total_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2003,Controlled,Regular,Unique_Item_Investigations,1,0,0,1,0,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2003,Controlled,Regular,Unique_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2004,Controlled,Regular,Total_Item_Investigations,28,0,0,1,0,0,0,0,3,10,14,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2004,Controlled,Regular,Total_Item_Requests,9,0,0,1,0,0,0,0,1,3,4,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2004,Controlled,Regular,Unique_Item_Investigations,10,0,0,1,0,0,0,0,1,3,5,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2004,Controlled,Regular,Unique_Item_Requests,9,0,0,1,0,0,0,0,1,3,4,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2006,Controlled,Regular,Total_Item_Investigations,4,0,0,0,0,0,0,0,0,0,2,1,1
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2006,Controlled,Regular,Total_Item_Requests,2,0,0,0,0,0,0,0,0,0,0,1,1
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2006,Controlled,Regular,Unique_Item_Investigations,3,0,0,0,0,0,0,0,0,0,1,1,1
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2006,Controlled,Regular,Unique_Item_Requests,2,0,0,0,0,0,0,0,0,0,0,1,1
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2007,Controlled,Regular,Total_Item_Investigations,7,0,0,4,0,0,0,0,3,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2007,Controlled,Regular,Total_Item_Requests,5,0,0,4,0,0,0,0,1,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2007,Controlled,Regular,Unique_Item_Investigations,5,0,0,4,0,0,0,0,1,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2007,Controlled,Regular,Unique_Item_Requests,5,0,0,4,0,0,0,0,1,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2008,Controlled,Regular,Total_Item_Investigations,3,0,0,3,0,0,0,0,0,0,0,0,0
American Speech,Duke University Press,,Duke University Press,,Silverchair:1000050,,0003-1283,1527-2133,,Journal,Article,2008,Controlled,Regular,Total_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
