Report_Name,"Title Master Report"
Report_ID,"TR"
Release,"5"
Institution_Name,"University of Mary Washington"
Institution_ID,"sagepub:115139"
Metric_Types,""
Report_Filters,""
Report_Attributes,"Attributes_To_Show=Access_Method|Access_Type|Data_Type|Section_Type|YOP"
Exceptions,""
Reporting_Period,"Begin_Date=2020-07-01; End_Date=2021-06-30"
Created,"2022-01-12T19:15:28Z"
Created_By,"SAGE Publishing SecureCenter"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","ISBN","Print_ISSN","Online_ISSN","URI","Data_Type","Section_Type","YOP","Access_Type","Access_Method","Metric_Type","Reporting_Period_Total","Jul-2020","Aug-2020","Sep-2020","Oct-2020","Nov-2020","Dec-2020","Jan-2021","Feb-2021","Mar-2021","Apr-2021","May-2021","Jun-2021"
"A League on Its Own: Major League Soccer’s Decision to Ignore Calls to Move to a European Model","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781526445711","","978-1-52-644571-1","","","","Book","","2018","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"A League on Its Own: Major League Soccer’s Decision to Ignore Calls to Move to a European Model","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781526445711","","978-1-52-644571-1","","","","Book","Book","0001","Controlled","Regular","No_License","1","0","0","0","0","0","0","0","1","0","0","0","0"
"A League on Its Own: Major League Soccer’s Decision to Ignore Calls to Move to a European Model","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781526445711","","978-1-52-644571-1","","","","Book","Book","2018","Controlled","Regular","Total_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"A League on Its Own: Major League Soccer’s Decision to Ignore Calls to Move to a European Model","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781526445711","","978-1-52-644571-1","","","","Book","Book","2018","Controlled","Regular","Unique_Item_Investigations","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Beyond Sex and Gender","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781446217702","206107","978-1-44-621770-2","","9780-0761","","Book","","2012","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Beyond Sex and Gender","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781446217702","206107","978-1-44-621770-2","","9780-0761","","Book","Chapter","0001","Controlled","Regular","No_License","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Beyond Sex and Gender","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781446217702","206107","978-1-44-621770-2","","9780-0761","","Book","Chapter","2012","Controlled","Regular","Total_Item_Investigations","2","0","0","0","2","0","0","0","0","0","0","0","0"
"Beyond Sex and Gender","SAGE Publications","sagepub:sage-publications","SAGE Knowledge","10.4135/9781446217702","206107","978-1-44-621770-2","","9780-0761","","Book","Chapter","2012","Controlled","Regular","Unique_Item_Investigations","2","0","0","0","2","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","","1943","Controlled","Regular","Unique_Title_Investigations","1","0","0","1","0","0","0","0","0","0","0","0","0"
"CQ Researcher","CQ Press","sagepub:cq-press","CQ Press Library","","","1056-2036","","1056-2036","","Report","","1953","Controlled","Regular","Unique_Title_Investigations","1","0","0","0","0","0","0","1","0","0","0","0","0"
