Report_Name,Title Master Report
Report_ID,TR
Release,5
Institution_Name,University of Mary Washington
Institution_ID,SN:8200706369
Metric_Types,
Report_Filters,
Report_Attributes,Attributes_To_Show=Data_Type|Section_Type|YOP|Access_Type|Access_Method
Exceptions,"In order to be consistent with COUNTER4 metrics, we've included the non-standard SN:Total_Chapter_Request metric per default as it is the only metric available for books prior to 2019."
Reporting_Period,Begin_Date=2020-07-01; End_Date=2021-06-30
Created,2022-01-12T18:35:57Z
Created_By,SpringerNature

Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,ISBN,Print_ISSN,Online_ISSN,URI,Data_Type,Section_Type,YOP,Access_Type,Access_Method,Metric_Type,Reporting_Period_Total,Jul-2020,Aug-2020,Sep-2020,Oct-2020,Nov-2020,Dec-2020,Jan-2021,Feb-2021,Mar-2021,Apr-2021,May-2021,Jun-2021
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2016,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2016,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2016,Controlled,Regular,No_License,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1887,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1887,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1887,Controlled,Regular,No_License,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2002,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2002,Controlled,Regular,Total_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2002,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2002,Controlled,Regular,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1869,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1869,Controlled,Regular,Total_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1869,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,0,0,0,0,0,1,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1869,Controlled,Regular,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,1,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1852,Controlled,Regular,Total_Item_Investigations,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1852,Controlled,Regular,Total_Item_Requests,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1852,Controlled,Regular,Unique_Item_Investigations,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,1852,Controlled,Regular,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,1,0,0,0
Scientific American,Nature Publishing Group US,,SciAm,10.1038/41658.1946-7087,SN:41658,,0036-8733,1946-7087,,Journal,Article,2017,Controlled,Regular,Total_Item_Investigations,3,0,0,0,1,2,0,0,0,0,0,0,0
