title,vendor,publisher,platform,isbn,issn,eissn,yop,access_type,access_method,metric,total
Complete Idiot's Guide to Creative Writing,EBSCO,Alpha Books,EBSCOhost,978-0-02-861734-3,,,1997,Controlled,Regular,Unique Title Requests,1
Complete Idiot's Guide to Breaking Bad Habits,EBSCO,Alpha Books,EBSCOhost,978-0-02-862110-4,,,1998,Controlled,Regular,Unique Title Requests,2
Complete Idiot's Guide to Baby Names,EBSCO,Alpha Books,EBSCOhost,978-0-02-863367-1,,,1999,Controlled,Regular,Unique Title Requests,6
"Black Image in the White Mind: Debate on Afro-American Character & Destiny, 1817-1914",EBSCO,Wesleyan University Press,EBSCOhost,978-0-06-011343-8,,,1987,Controlled,Regular,Unique Title Requests,1
Feminism And Art History: Questioning The Litany,EBSCO,Routledge,EBSCOhost,978-0-06-430117-6,,,1982,Controlled,Regular,Unique Title Requests,2
Risk Management,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-135731-9,,,2000,Controlled,Regular,Unique Title Requests,2
Digital Game-based Learning,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-136344-0,,,2001,Controlled,Regular,Unique Title Requests,2
Wink: The Incredible Life and Epic Journey of Jimmy Winkfield,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-141862-1,,,2000,Controlled,Regular,Unique Title Requests,3
Jack Welch on Leadership: Abridged from Jack Welch and the GE Way,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-143527-7,,,2004,Controlled,Regular,Unique Title Requests,3
McGraw-Hill's LSAT,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-144805-5,,,2005,Controlled,Regular,Unique Title Requests,1
Digital Photography Quicksteps (McGraw Hill professional),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-148298-1,,,2007,Controlled,Regular,Unique Title Requests,1
How to Do Everything With Your Digital Camera (McGraw Hill professional),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-149580-6,,,2008,Controlled,Regular,Unique Title Requests,1
"AACN Essentials of Critical-Care Nursing, Second Edition",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-166442-4,,,2006,Controlled,Regular,Unique Title Requests,1
"Winning Body Language: Control the Conversation, Command Attention, and Convey the Right Message--without Saying a Word",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-170057-3,,,2010,Controlled,Regular,Unique Title Requests,7
"McGraw-Hill's Conquering LSAT Logic Games, Third Edition",EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-171788-5,,,2010,Controlled,Regular,Unique Title Requests,1
McGraw-Hill's LSAT 2011,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-174084-5,,,2010,Controlled,Regular,Unique Title Requests,2
How to Do Everything With Your Digital Camera (How to do everything with--),EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-212772-0,,,2001,Controlled,Regular,Unique Title Requests,1
RSA Security's Official Guide to Cryptography,EBSCO,"The McGraw-Hill Companies, Inc.",EBSCOhost,978-0-07-213139-0,,,2001,Controlled,Regular,Unique Title Requests,1
Biometrics and Strong Authentication,EBSCO,McGraw-Hill/Osborne,EBSCOhost,978-0-07-222227-2,,,2002,Controlled,Regular,Unique Title Requests,4
Digital Photography (QuickSteps),EBSCO,McGraw-Hill/Osborne,EBSCOhost,978-0-07-225861-5,,,2004,Controlled,Regular,Unique Title Requests,1
Activated Carbon,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-044463-5,,,2006,Controlled,Regular,Unique Title Requests,1
Comprehensive Medicinal Chemistry II,Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-045044-5,,,2007,Controlled,Regular,Unique Title Requests,1
Encyclopedia of Agriculture and Food Systems,Elsevier,Elsevier,ScienceDirect licensed content,978-0-08-093139-5,,,2014,Controlled,Regular,Unique Title Requests,1
Comprehensive Chirality,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-095167-6,,,2012,Controlled,Regular,Unique Title Requests,2
Metal Nanoparticles and Nanoalloys,ProQuest,Elsevier Science & Technology,ProQuest Ebook Central,978-0-08-096357-0,,,2012,Controlled,Regular,Unique Title Requests,1
